Owner,main_model_name,to_compare,largefile,card,key,main_value,compared_value
Obrolin,Obrolin/Kesehatan-7B-v0.1,s3nh/Obrolin-Kesehatan-7B-GGUF,1,1,no-information,no-information,no-information
phanerozoic,phanerozoic/Mistral-Pirate-7b-v0.3,phanerozoic/MistralPirate-7b-v1,1,1,"_name_or_path, attention_dropout, rope_theta, sliding_window, transformers_version","Mistral, 0.0, 1000000.0, None, 4.35.2","N/A, None, 10000.0, 4096, 4.35.0.dev0"
RJuro,RJuro/kanelsnegl-v0.1,RJuro/kanelsnegl-v0.2,1,1,"_name_or_path, torch_dtype","/home/ubuntu/mistral-dk/zephyr-dk-6-11, float32","RJuro/kanelsnegl-v0.1, float16"
rwitz2,rwitz2/go-bruins-v2.1,rwitz2/go-bruins-v2.1.1,1,1,"_name_or_path, torch_dtype, transformers_version","merged, float16, 4.36.0","neural_trinity, bfloat16, 4.36.1"
saltlux,saltlux/luxia-21.4b-alignment-v1.0,saltlux/luxia-21.4b-alignment-v1.1,1,1,_name_or_path,saltlux/luxia-21.4b-alignment-v1.0,/saltlux/luxia-21.4b-alignment-v1.1
Sam2x,Sam2x/Mistral_OpenArabic_v0.2,Sam2x/OpenArabic_v0.3,1,1,"_name_or_path, torch_dtype, transformers_version, pad_token_id, unsloth_version","Sam2x/Mistral_OpenArabic_v0.2, float16, 4.35.0, None, None","Sam2x/Mistral_OpenArabic_CIDAR_v0.2, bfloat16, 4.38.2, 2, 2024.3"
Tamnemtf,Tamnemtf/Ae-calem-mistral-7b-v0.1,Tamnemtf/Ae-calem-mistral-7b-v0.2,1,1,_name_or_path,Tamnemtf/Ae-calem-mistral-7b-v0.1,Tamnemtf/Ae-calem-mistral-7b-v0.2
TinyLlama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v0.6,1,1,"use_cache, _name_or_path","True, None","False, /mnt/petrelfs/libo1.p/alignment-handbook/data/tinyllama-2T-sft-full"
unaidedelf87777,unaidedelf87777/wizard-mistral-v0.1,unaidedelf87777/wizard-mistral-v1-ep2,1,1,no-changes,no-changes,no-changes
Undi95,Undi95/Mistral-11B-Airoboros-v0.1,Undi95/Mistral-11B-Airoboros-RP-v1,1,1,"_name_or_path, torch_dtype, transformers_version","mistralai/Mistral-7B-v0.1, bfloat16, 4.34.0","./merge2, float16, 4.35.0.dev0"
vaicai,vaicai/kaifa-support-chat-v7.3,vaicai/kaifa-support-chat-v7.2,1,1,no-information,no-information,no-information
wolfram,wolfram/miquliz-120b-v2.0,wolfram/miquliz-120b-v2.0-2.4bpw-h6-exl2,1,1,no-changes,no-changes,no-changes
yanolja,yanolja/KoSOLAR-10.7B-v0.2,yanolja/KoSOLAR-10.7B-v0.1-deprecated,1,1,"_name_or_path, torch_dtype, transformers_version, vocab_size","yanolja/KoSOLAR-10.7B-v0.2, bfloat16, 4.36.2, 40960","seungduk/KoSOLAR-10.7B-v0.1, float16, 4.37.0.dev0, 48000"
